disease_id,name,type,description,symptoms,causes,treatments,related_bacteria,related_virus
770,Influenza,Genetic,A disease affecting humans. Further research may be required for specific details about Influenza.,"add, anyone, study","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Borrelia burgdorferi,Hepatitis B
771,Polio,Genetic,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Borrelia burgdorferi,Influenza
772,Asthma,Bacterial,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Klebsiella pneumoniae,Rabies
773,Asthma,Genetic,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Shigella dysenteriae,Polio
774,Malaria,Genetic,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Helicobacter pylori,HPV
775,Hypertension,Bacterial,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Neisseria meningitidis,Norovirus
776,Meningitis,Metabolic,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Staphylococcus aureus,Measles
777,Hypertension,Genetic,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Bacillus anthracis,Rubella
778,Chickenpox,Genetic,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Streptococcus pneumoniae,Rabies
779,Cholera,Genetic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Helicobacter pylori,Influenza
780,Ebola,Viral,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Treponema pallidum,HIV
781,Influenza,Genetic,A disease affecting humans. Further research may be required for specific details about Influenza.,"defense, director, hot, marriage, together","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Yersinia pestis,Rubella
782,Tuberculosis,Parasitic,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Listeria monocytogenes,Rabies
783,Rabies,Parasitic,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Helicobacter pylori,Epstein-Barr
784,Malaria,Viral,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Bacillus anthracis,SARS-CoV-2
785,Hepatitis B,Bacterial,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Corynebacterium diphtheriae,Zika
786,Asthma,Bacterial,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Bacillus anthracis,HPV
787,Asthma,Viral,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Salmonella enterica,Herpes simplex
788,HIV/AIDS,Genetic,A virus that attacks the immune system and can lead to acquired immunodeficiency syndrome (AIDS).,"Fever, fatigue, swollen lymph nodes, weight loss, recurrent infections","Infection with the human immunodeficiency virus (HIV), spread through blood, sexual contact, or from mother to child.",Antiretroviral therapy (ART),Staphylococcus aureus,Influenza
789,Malaria,Metabolic,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Borrelia burgdorferi,Dengue
790,Pneumonia,Metabolic,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Helicobacter pylori,Epstein-Barr
791,Polio,Genetic,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Shigella dysenteriae,Cytomegalovirus
792,Hepatitis B,Parasitic,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Vibrio cholerae,Norovirus
793,Dengue,Genetic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Corynebacterium diphtheriae,Marburg
794,Polio,Metabolic,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Bacillus anthracis,Dengue
795,Meningitis,Viral,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Vibrio cholerae,Rabies
796,Measles,Bacterial,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Enterococcus faecalis,Ebola
797,Leprosy,Metabolic,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Helicobacter pylori,Varicella-zoster
798,Rabies,Genetic,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Enterococcus faecalis,Herpes simplex
799,Measles,Metabolic,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Treponema pallidum,Varicella-zoster
800,Ebola,Viral,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Bacillus anthracis,Herpes simplex
801,Asthma,Genetic,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Helicobacter pylori,Rabies
802,Tuberculosis,Genetic,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Proteus mirabilis,Varicella-zoster
803,Malaria,Bacterial,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Listeria monocytogenes,Rotavirus
804,Dengue,Bacterial,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Salmonella enterica,Ebola
805,Hypertension,Viral,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Helicobacter pylori,Rabies
806,Zika,Parasitic,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Helicobacter pylori,HPV
807,Cholera,Metabolic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Helicobacter pylori,Polio
808,Polio,Metabolic,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Neisseria meningitidis,Measles
809,Hepatitis B,Parasitic,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Bacillus anthracis,Dengue
810,COVID-19,Metabolic,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Corynebacterium diphtheriae,Herpes simplex
811,Hepatitis B,Parasitic,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Shigella dysenteriae,Herpes simplex
812,Pneumonia,Bacterial,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Shigella dysenteriae,HPV
813,HIV/AIDS,Parasitic,A virus that attacks the immune system and can lead to acquired immunodeficiency syndrome (AIDS).,"Fever, fatigue, swollen lymph nodes, weight loss, recurrent infections","Infection with the human immunodeficiency virus (HIV), spread through blood, sexual contact, or from mother to child.",Antiretroviral therapy (ART),Helicobacter pylori,Cytomegalovirus
814,Asthma,Metabolic,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Borrelia burgdorferi,Rabies
815,Hypertension,Viral,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Proteus mirabilis,SARS-CoV-2
816,Diabetes Mellitus,Metabolic,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Klebsiella pneumoniae,Herpes simplex
817,Zika,Bacterial,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Escherichia coli,Herpes simplex
818,Cholera,Metabolic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Streptococcus pneumoniae,Hepatitis B
819,Diabetes Mellitus,Viral,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Vibrio cholerae,HIV
820,Rabies,Metabolic,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Salmonella enterica,Polio
821,Influenza,Bacterial,A disease affecting humans. Further research may be required for specific details about Influenza.,"letter, year","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Helicobacter pylori,HIV
822,Meningitis,Viral,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Listeria monocytogenes,Norovirus
823,Chickenpox,Parasitic,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Mycobacterium tuberculosis,Ebola
824,Zika,Parasitic,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Enterococcus faecalis,HIV
825,Hepatitis B,Parasitic,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Vibrio cholerae,Measles
826,Hypertension,Metabolic,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Yersinia pestis,Cytomegalovirus
827,Polio,Parasitic,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Listeria monocytogenes,Herpes simplex
828,Zika,Metabolic,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Corynebacterium diphtheriae,Ebola
829,Rabies,Bacterial,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Proteus mirabilis,Hepatitis B
830,Polio,Genetic,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Enterococcus faecalis,Rubella
831,Meningitis,Viral,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Treponema pallidum,Marburg
832,Polio,Viral,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Listeria monocytogenes,Dengue
833,Ebola,Viral,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Corynebacterium diphtheriae,Measles
834,Leprosy,Bacterial,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Bacillus anthracis,Dengue
835,Hypertension,Viral,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Helicobacter pylori,Measles
836,Polio,Genetic,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Vibrio cholerae,Rotavirus
837,Rabies,Viral,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Enterococcus faecalis,HIV
838,Dengue,Genetic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Escherichia coli,Zika
839,Ebola,Parasitic,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Escherichia coli,Rubella
840,Asthma,Viral,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Neisseria meningitidis,Influenza
841,Ebola,Viral,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Salmonella enterica,Rubella
842,Diabetes Mellitus,Viral,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Staphylococcus aureus,Mumps
843,HIV/AIDS,Viral,A virus that attacks the immune system and can lead to acquired immunodeficiency syndrome (AIDS).,"Fever, fatigue, swollen lymph nodes, weight loss, recurrent infections","Infection with the human immunodeficiency virus (HIV), spread through blood, sexual contact, or from mother to child.",Antiretroviral therapy (ART),Enterococcus faecalis,Epstein-Barr
844,Tuberculosis,Parasitic,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Pseudomonas aeruginosa,HPV
845,Pneumonia,Parasitic,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Treponema pallidum,Marburg
846,Influenza,Metabolic,A disease affecting humans. Further research may be required for specific details about Influenza.,"sing, event, standard","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Treponema pallidum,Polio
847,Dengue,Metabolic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Yersinia pestis,Rotavirus
848,Dengue,Bacterial,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Listeria monocytogenes,Marburg
849,Hepatitis B,Viral,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Staphylococcus aureus,HIV
850,Hypertension,Genetic,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Pseudomonas aeruginosa,HIV
851,COVID-19,Genetic,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Yersinia pestis,Cytomegalovirus
852,Asthma,Bacterial,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Treponema pallidum,Zika
853,Hypertension,Viral,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Neisseria meningitidis,Norovirus
854,HIV/AIDS,Bacterial,A virus that attacks the immune system and can lead to acquired immunodeficiency syndrome (AIDS).,"Fever, fatigue, swollen lymph nodes, weight loss, recurrent infections","Infection with the human immunodeficiency virus (HIV), spread through blood, sexual contact, or from mother to child.",Antiretroviral therapy (ART),Clostridium tetani,Rabies
855,Dengue,Bacterial,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Borrelia burgdorferi,Rotavirus
856,Measles,Metabolic,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Shigella dysenteriae,Measles
857,Zika,Genetic,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Listeria monocytogenes,Hepatitis B
858,Leprosy,Metabolic,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Corynebacterium diphtheriae,Varicella-zoster
859,Rabies,Viral,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Streptococcus pneumoniae,Rubella
860,Ebola,Metabolic,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Escherichia coli,Dengue
861,Asthma,Parasitic,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Treponema pallidum,Rotavirus
862,Leprosy,Genetic,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Treponema pallidum,Norovirus
863,Diabetes Mellitus,Parasitic,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Salmonella enterica,Varicella-zoster
